label,file,stream,sni,packet_1,packet_2,packet_3,packet_4,packet_5,packet_6,packet_7,packet_8,packet_9,packet_10,packet_11,packet_12,packet_13,packet_14,packet_15,packet_16,packet_17,packet_18,packet_19,packet_20,packet_21,packet_22,packet_23,packet_24,packet_25,packet_26,packet_27,packet_28,packet_29,packet_30
www.cnki.net,cnki.pcap,20991,p3.img.cctvpic.com,714,1460,890,93,797,274,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.cnki.net,cnki.pcap,10091,gzjg.cnki.net,517,1460,528,80,1456,271,271,1460,10,1460,10,1460,10,1460,1446,1460,1460,1460,1460,1460,1460,1056,0,0,0,0,0,0,0,0
www.cnki.net,cnki.pcap,21171,p5.img.cctvpic.com,810,1460,890,93,715,274,451,1460,1115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.cnki.net,cnki.pcap,20887,p4.img.cctvpic.com,714,156,51,810,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.cnki.net,cnki.pcap,3601,kjs.cnki.net,532,1460,528,80,1456,271,271,708,1460,10,1460,10,1460,10,1308,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.wzu.edu.cn,wzu.pcap,8239,msg.csw.lenovo.com,180,1440,660,93,171,145,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.runoob.com,runoob.pcap,4082,rtb.adxpremium.services,622,1460,682,64,87,87,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.cnki.net,cnki.pcap,15584,saishi.cnki.net,567,1460,528,80,1315,271,271,1460,10,240,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.cnki.net,cnki.pcap,20729,www.zuzhirenshi.com,539,1460,1460,253,93,755,290,1460,353,817,1460,36,638,1460,1460,1460,1460,1460,1460,66,695,1324,0,0,0,0,0,0,0,0
www.cnki.net,cnki.pcap,10496,r.cnki.net,849,245,80,1456,271,1123,430,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.cnki.net,cnki.pcap,4316,c61.cnki.net,708,1460,528,80,1456,271,271,649,395,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.52pojie.cn,52pojie.pcap,1548,avatar.52pojie.cn,856,260,80,1063,303,1024,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.12371.cn,12371.pcap,1613,p4.img.cctvpic.com,778,1460,890,93,790,274,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
